Fine Number,DateOfOffence,Original_Issue_Date,Location,CleanupCosts,CleanupCostsStr,Section_No,AreaName
22979,09/07/2011 00:00,02/09/2011 00:00,Watery Lane Bottlebank,,0,3(1) pursu,SWORDS/BALBRIGGAN
22809,11/07/2011 00:00,05/08/2011 00:00,Broomfield Bridge Club Malahide,,0,3(1),MALAHIDE/HOWTH
22811,15/07/2011 00:00,05/08/2011 00:00,Stockhole Lane Cloghran,,0,3(1),MALAHIDE/HOWTH
22986,18/07/2011 00:00,16/09/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22985,23/07/2011 00:00,16/09/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22984,23/07/2011 00:00,09/09/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22983,24/07/2011 00:00,09/09/2011 00:00,Watery Lane Bottlebank Swords,,0,3(1) pursu,SWORDS/BALBRIGGAN
22996,03/08/2011 00:00,30/09/2011 00:00,"Malahide Beach Car Park, Malahide Co. Dublin",,0,3(1) pursu,MALAHIDE/HOWTH
22980,04/08/2011 00:00,09/09/2011 00:00,R132 Cloghran area beside Coachmans,,0,3(1) pursu,MALAHIDE/HOWTH
22816,04/08/2011 00:00,12/08/2011 00:00,Kinsealy Lane Kinsealy Co. Dublin,,0,3(1),MALAHIDE/HOWTH
22814,04/08/2011 00:00,12/08/2011 00:00,Kinsealy Lane Kinsealy Co. Dublin,,0,3(1),MALAHIDE/HOWTH
22818,04/08/2011 00:00,19/08/2011 00:00,Kinsealy Lane Kinsealy Co. Dublin,,0,3(1),MALAHIDE/HOWTH
22815,04/08/2011 00:00,12/08/2011 00:00,Kinsealy Lane Kinsealy,,0,3(1),MALAHIDE/HOWTH
22812,04/08/2011 00:00,12/08/2011 00:00,"Kinsealy Lane Kinsealy Co, Dublin",,0,3(1),MALAHIDE/HOWTH
22817,04/08/2011 00:00,19/08/2011 00:00,Kinsealy Lane Kinsealy Co. Dublin,,0,3(1),MALAHIDE/HOWTH
22823,05/08/2011 00:00,26/08/2011 00:00,R132 Swords Road (Beside Coachmans),,0,3(1),MALAHIDE/HOWTH
22822,05/08/2011 00:00,26/08/2011 00:00,R132 Swords Road (beside Coachmans Inn),,0,3(1),MALAHIDE/HOWTH
22824,11/08/2011 00:00,26/08/2011 00:00,Old Bawn Malahide,,0,3(3),MALAHIDE/HOWTH
22977,12/08/2011 00:00,02/09/2011 00:00,"Royal Oak Estate, Santry",,0,3(1) pursu,SWORDS/BALBRIGGAN
22813,12/08/2011 00:00,12/08/2011 00:00,"Kinsealy Lane, Kinsealy Co. Dublin",,0,3(1),MALAHIDE/HOWTH
22981,18/08/2011 00:00,09/09/2011 00:00,"New Street, Malahide",,0,6(4),MALAHIDE/HOWTH
22987,22/08/2011 00:00,16/09/2011 00:00,Holywell Distributor Road (R125) Holywell Swords Co. Dublin,,0,19(1),MALAHIDE/HOWTH
22982,25/08/2011 00:00,09/09/2011 00:00,"Coolock Lane, Santry, Dublin 9",,0,3(1),SWORDS/BALBRIGGAN
22997,29/08/2011 00:00,30/09/2011 00:00,"Malahide Road, Citybound  near Baskin lane ",,0,3(1) pursu,MALAHIDE/HOWTH
22992,31/08/2011 00:00,23/09/2011 00:00,Old Ballymun Road,,0,3(1) pursu,SWORDS/BALBRIGGAN
22990,31/08/2011 00:00,16/09/2011 00:00,Swords Road Ssantry Dublin 9,,0,3(1) pursu,MALAHIDE/HOWTH
22991,01/09/2011 00:00,23/09/2011 00:00,Malahide,,0,3(1),MALAHIDE/HOWTH
22989,02/09/2011 00:00,16/09/2011 00:00,"Coolock Lane, Santry",,0,19(1),MALAHIDE/HOWTH
22993,22/09/2011 00:00,30/09/2011 00:00,R125 Holywell Swords Co. Dublin,,0,19(1),SWORDS/BALBRIGGAN
22995,22/09/2011 00:00,30/09/2011 00:00,R125 Holywell Swords,,0,19(1),MALAHIDE/HOWTH
