STREET,DISTRICT,WARD,FROM,TO,,,,
GILDERSOME LANE,GILDERSOME,FARNLEY AND WORTLEY,SCOTT GREEN (B.6126),WHITEHALL ROAD,,,,
GILDERSOME SPUR,MORLEY,MORLEY NORTH,WAKEFIELD ROAD(A650),NORTH TO ENDS OF T-SHAPE,,,,
GILLETT LANE,ROTHWELL,ROTHWELL,OULTON/TINGLEY A.654,GILLETT BRIDGE,,,,
GIPTON APPROACH,GIPTON,GIPTON AND HAREHILLS,YORK ROAD,WYKEBECK VALLEY ROAD,,,,
GIPTON WOOD AVENUE,GIPTON,ROUNDHAY,COPGROVE ROAD,ARLINGTON ROAD,,,,
GLEDHOW AVENUE,GLEDHOW,ROUNDHAY,LIDGETT LANE,WHITE GROVE,,,,
GLEDHOW LANE,GLEDHOW,ROUNDHAY,ROUNDHAY ROAD,LIDGETT LANE,,,,
GLEDHOW LANE,GLEDHOW,ROUNDHAY,LIDGETT LANE,KING GEORGE AVENUE,,,,
GLEDHOW PARK AVENUE,HAREHILLS,CHAPEL ALLERTON,GLEDHOW PARK GROVE,GLEDHOW PARK PartIVE,,,,
GLEDHOW PARK DRIVE,HAREHILLS,CHAPEL ALLERTON,GLEDHOW VALLEY ROAD,EAST KING GEORGE AVENUE,,,,
GLEDHOW PARK ROAD,CHAPEL ALLERTON,CHAPEL ALLERTON,JUNCTION MONTREAL AVENUE/GLEDHOW PARK PartIVE,GLEDOW VALLEY ROAD,,,,
GLEDHOW VALLEY ROAD,GLEDHOW,CHAPEL ALLERTON,HARROGATE ROAD,ROUNDHAY ROAD,,,,
GLEDHOW WOOD ROAD,GLEDHOW,ROUNDHAY,FITZROY DRIVE,ROUNDHAY ROAD,,,,
GLEDHOW WOOD ROAD,GLEDHOW,ROUNDHAY,LIDGETT LANE,FITZROY DRIVE,,,,
GLEN ROAD,MORLEY,MORLEY SOUTH,HIGH STREET,TOPCLIFFE LANE,,,,
GLOBE ROAD,HOLBECK,CITY AND HUNSLET,WATER LANE,WHITEHALL ROAD,,,,
GLOUCESTER TERRACE,ARMLEY,ARMLEY,CANAL STREET,HALL LANE,,,,
GOODMAN STREET,HUNSLET,CITY AND HUNSLET,FORSTER STREET,NATIONAL ROAD,,,,
GOODWOOD AVENUE,KIPPAX,KIPPAX AND METHLEY,WESTFIELD LANE,NORTH-EAST TO END,,,,
GOODY CROSS LANE,LITTLE PRESTON,GARFORTH AND SWILLINGTON,WAKEFIELD ROAD,WHITEHOUSE LANE,,,,
GOOSE LANE,HAWKSWORTH,GUISELEY AND RAWDON,FOUR LANE ENDS,BINGLEY ROAD,,,,
GRAFTON STREET,SHEEPSCAR,HYDE PARK AND WOODHOUSE,NORTH STREET,CAMP ROAD,,,,
GRANGE PARK AVENUE,ROUNDHAY,KILLINGBECK AND SEACROFT,DIB LANE,GRANGE PARK ROAD,,,,
GRANGE PARK ROAD,ROUNDHAY,KILLINGBECK AND SEACROFT,DIB LANE,NORTH EAST REINWOOD AVENUE,,,,
GREAT GEORGE STREET,CENTRAL,CITY AND HUNSLET,COOKRIDGE STREET,CLARENDON ROAD,,,,
GREAT NORTH ROAD,MICKLEFIELD,KIPPAX AND METHLEY,SELBY ROAD A63,ABERFORD ROAD,,,,
GREAT WILSON STREET,HOLBECK,CITY AND HUNSLET,HUNSLET LANE,MEADOW LANE,,,,
GREAT WILSON STREET,HOLBECK,CITY AND HUNSLET,MEADOW LANE,VICTORIA ROAD,,,,
GREEN HILL LANE,ARMLEY,FARNLEY AND WORTLEY,UPPER WORTLEY ROAD,WEST TO END,,,,
GREEN HILL ROAD,ARMLEY,ARMLEY,HILLTOP ROAD,HENCONNER LANE,,,,
GREEN LANE,ARMLEY,ARMLEY,TONG ROAD,OAK ROAD,,,,
GREEN LANE,GARFORTH,GARFORTH AND SWILLINGTON,NINELANDS LANE,FAIRBURN PartIVE,,,,
GREEN LANE,HALTON,TEMPLE NEWSAM,HOLLYSHAW LANE,CROSS GREEN LANE,,,,
GREEN LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,LEEMOOR LANE,JUMBLES LANE,,,,
GREEN LANE,METHLEY,KIPPAX AND METHLEY,BARNSDALE ROAD (A639),BOAT LANE,,,,
GREEN LANE,YEADON,GUISELEY AND RAWDON,JUNCTION WITH NEW ROAD NEW ROAD SIDE AND APPERLEY LANE,ROWAN COURT,,,,
GREEN LANE,YEADON,GUISELEY AND RAWDON,ROWAN COURT,HARROGATE ROAD,,,,
GREEN LANE,COOKRIDGE,ADEL AND WHARFEDALE,COOKRIDGE PartIVE,WOOD HILL ROAD,,,,
GREEN ROAD,MEANWOOD,MOORTOWN,STONEGATE ROAD,SUNSET ROAD,,,,
GREENFOLD LANE,WETHERBY,WETHERBY,VICTORIA STREET,HIGHFIELD TERRACE,,,,
GREENLEA AVENUE,YEADON,GUISELEY AND RAWDON,GREEN LEA ROAD,NEW ROAD,,,,
GREENLEA ROAD,YEADON,GUISELEY AND RAWDON,WESTFIELD AVENUE,SOUTH TO UN-NAMED ROAD OFF GILL LANE AND WARM LANE,,,,
GREENMOUNT STREET,BEESTON,CITY AND HUNSLET,COUPLAND STREET,LODGE LANE,,,,
GREENSIDE,PUDSEY,PUDSEY,CHAPELTOWN,FARTOWN,,,,
GREENTHORPE ROAD,ARMLEY,FARNLEY AND WORTLEY,HENCONNER LANE,PUDSEY ROAD,,,,
GROVE LANE,HEADINGLEY,WEETWOOD,SHAW LANE,MEANWOOD ROAD,,,,
GROVE ROAD,HALTON,TEMPLE NEWSAM,SELBY ROAD,NEW TEMPLE GATE,,,,
GROVE ROAD,HEADINGLEY,HEADINGLEY,MONKBRIDGE ROAD,WOOD LANE,,,,
HAIGH MOOR ROAD,WEST ARDSLEY,ARDSLEY AND ROBIN HOOD,WESTERTON ROAD,BATLEY ROAD,,,,
HAIGH ROAD,ROTHWELL,ROTHWELL,WOOD LANE,LEEDS/BARNSDALE ROAD,,,,
HAIGH WOOD ROAD,COOKRIDGE,WEETWOOD,TINSHILL LANE,SILK MILL GARDENS,,,,
HALES ROAD,LOWER WORTLEY,FARNLEY AND WORTLEY,EAST LOWER WORTLEY ROAD,END,,,,
HALL LANE,ARMLEY,ARMLEY,JUNCTION WITH CHAPEL LANE AND CHURCH ROAD,JUNCTION WITH GREEN LANE AND OAK ROAD,,,,
HALL LANE,FARNLEY,FARNLEY AND WORTLEY,STONEBRIDGE LANE,TONG ROAD,,,,
HALL LANE,HORSFORTH,HORSFORTH,RAWDON ROAD,FINK HILL/CHURCH LANE,,,,
HALL PARK ROAD,WALTON,WETHERBY,JUNCTION WITH MAIN STREET AND SMIDDY HILL,RUDGATE,,,,
HALL RISE,BRAMHOPE,ADEL AND WHARFEDALE,CRESKELD PartIVE,LEEDS ROAD,,,,
HALLFIELD LANE,WETHERBY,WETHERBY,C.78 WALTON ROAD,B1224 YORK ROAD,,,,
HALTON MOOR AVENUE,HALTON,TEMPLE NEWSAM,SELBY ROAD,HALTON MOOR ROAD,,,,
HALTON MOOR ROAD,HALTON,TEMPLE NEWSAM,NEWMARKET LANE,ULLSWATER CRESCENT,,,,
HANOVER WAY,WOODHOUSE,CITY AND HUNSLET,WOODHOUSE SQUARE,PARK LANE,,,,
HARDY STREET,BEESTON,CITY AND HUNSLET,LODGE LANE,TEMPEST ROAD,,,,
HAREHILLS AVENUE,HAREHILLS,CHAPEL ALLERTON,AVENUE HILL,ROUNDHAY ROAD,,,,
HAREHILLS AVENUE,HAREHILLS,CHAPEL ALLERTON,SPENCER PLACE,CHAPELTOWN ROAD,,,,
HAREHILLS LANE,HAREHILLS,GIPTON AND HAREHILLS,JUNCTION WITH KING GEORGE AVENUE HARROGATE ROAD,ASHLEY ROAD / STATHMORE DRIVE,,,,
HAREHILLS LANE,HAREHILLS,GIPTON AND HAREHILLS,ASHLEY ROAD / STRATHMORE DRIVE,YORK ROAD,,,,
HAREHILLS ROAD,HAREHILLS,GIPTON AND HAREHILLS,ROUNDHAY ROAD,BECKETT STREET/ASHLEY ROAD,,,,
HAREWOOD AVENUE,HAREWOOD,HAREWOOD,THE AVENUE,JUNCTION WITH HAREWOOD ROAD AND LUMBY LANE,,,,
HAREWOOD ROAD,EAST KESWICK,HAREWOOD,JUNCTION WITH LUMBY LANE AND HAREWOOD AVENUE,MAIN STREET COLLINGHAM,,,,
HARLECH AVENUE,CROSS FLATTS,CITY AND HUNSLET,COLWYN ROAD,TEMPEST ROAD,,,,
HARPER LANE,YEADON,OTLEY AND YEADON,IVEGATE,SOUTH VIEW TERRACE,,,,
HARPER STREET,CENTRAL,CITY AND HUNSLET,NEW YORK STREET,KIRKGATE,,,,
HARROGATE ROAD,HAREWOOD,HAREWOOD,SWINDON LANE (LCC BOUNDARY),RING ROAD MOORTOWN,,,,
HARROGATE ROAD,RAWDON,GUISELEY AND RAWDON,GREEN LANE,NEW ROAD SIDE,,,,
HARROGATE ROAD,BRAMHOPE,OTLEY AND YEADON,JUNCTION WITH POOL BANK NEW ROAD AND OLD BRAMHOPE LANE,JUNCTION WITH WARREN HOUSE LANE WHITE HOUSE LANE AND VICTORIA AVENUE,,,,
HARROGATE ROAD,LEEDS,CHAPEL ALLERTON,HAREHILLS LANE,RING ROAD MOORTOWN,,,,
HARROGATE ROAD,LEEDS,CHAPEL ALLERTON,STONEGATE ROAD,RING ROAD MOORTOWN (OUTBOUND ONLY),,,,
HARTLEY AVENUE,WOODHOUSE,HYDE PARK AND WOODHOUSE,MELVILLE PLACE,NW TO END,,,,
HARTLEY CRESCENT,WOODHOUSE,HYDE PARK AND WOODHOUSE,LUCAS PLACE,HARTLEY AVENUE,,,,
HAW AVENUE,YEADON,OTLEY AND YEADON,HAW LANE,HAWTHORN PartIVE,,,,
HAW LANE,YEADON,OTLEY AND YEADON,SILVER LANE,HAW AVENUE,,,,
HAWKSWORTH LANE,GUISELEY,GUISELEY AND RAWDON,BRADFORD ROAD,GOOSE HILL,,,,
HAWKSWORTH ROAD,HORSFORTH,HORSFORTH,LOW LANE,ABBEY ROAD,,,,
HAWORTH LANE,YEADON,OTLEY AND YEADON,TOWN STREET,HAW LANE/SILVER LANE,,,,
HAWTHORN AVENUE,YEADON,OTLEY AND YEADON,HAW LANE,CEMETERY LANE,,,,
HAWTHORN DRIVE,YEADON,OTLEY AND YEADON,HAW LANE,CEMETERY ROAD,,,,
HAWTHORN ROAD,YEADON,OTLEY AND YEADON,CEMETERY ROAD,HAW LANE,,,,
HAWTHORNE AVENUE,WETHERBY,WETHERBY,AINSTY ROAD,AIRE ROAD,,,,
HAZELWOOD AVENUE,GARFORTH,GARFORTHHEIGHTS DRIVE,ARMLEY,FARNLEY AND WORTLEY,GREENTHORPE ROAD,WHINGATE ROAD,,
HENCONNER LANE,ARMLEY,ARMLEY,GREENTHORPE ROAD,TOWN STREET (BRAMLEY),,,,
HENCONNER LANE,ARMLEY,ARMLEY,PUDSEY ROAD,GREENTHORPE ROAD,,,,
HENLEY CRESCENT,BRAMLEY,BRAMLEY AND STANNINGLEY,HOUGH LANE,SOUTH EAST TO END,,,,
HENSHAW LANE,YEADON,GUISELEY AND RAWDON,LEEDS ROAD (NEW ROAD),JUNCTION WITH HARPER LANE,,,,
HESKETH LANE,WEST ARDSLEY,MORLEY SOUTH,DEWSBURY ROAD,WESTERTON ROAD,,,,
HEYBECK LANE,WEST ARDSLEY,MORLEY SOUTH,JUNCTION WITH DEWSBURY ROAD / LEEDS ROAD AND SOOTHILL LANE,JUNCTION WITH BAGHILL ROAD AND BATLEY ROAD,,,,
HIGH ASH AVENUE,ALWOODLEY,ALWOODLEY,HIGH ASH PartIVE,PLANTATION GARDENS,,,,
HIGH ASH DRIVE,ALWOODLEY,ALWOODLEY,WIGTON LANE,HIGH ASH AVENUE,,,,
HIGH COURT,CENTRAL,CITY AND HUNSLET,KIRKGATE,THE CALLS,,,,
HIGH STREET,BRAMHAM,WETHERBY,ABERFORD ROAD,TOWN HILL,,,,
HIGH STREET,WETHERBY,WETHERBY,MARKET PLACE,HORSEFAIR,,,,
HIGH STREET,BOSTON SPA,WETHERBY,MOOR END,NORTH YORKS BORDER,,,,
HIGH STREET,MORLEY,MORLEY SOUTH,BRITANNIA ROAD,FOUNTAIN STREET,,,,
HIGH STREET,CLIFFORD,WETHERBY,WILLOW LANE,CHAPEL LANE,,,,
HIGH STREET,YEADON,OTLEY AND YEADON,TOWN STREET,HARROGATE ROAD,,,,
HIGH STREET,KIPPAX,KIPPAX AND METHLEY,LEEDS ROAD,LONGDIKE LANE,,,,
HIGH WEARDLEY LANE,HAREWOOD,HAREWOOD,WEARDLEY LANE,RAWDEN HILL,,,,
HIGHFIELD GREEN,PUDSEY,CALVERLEY AND FARSLEY,CEMETERY ROAD,CEMETERY ROAD,,,,
HILL CREST,COLLINGHAM,HAREWOOD,HAREWOOD ROAD,LANGWITH VALLEY ROAD,,,,
HILL STREET,BEESTON,CITY AND HUNSLET,COUPLAND STREET,SOUTH & SOUTH WEST,,,,
HILL TOP ROAD,ARMLEY,ARMLEY,GREENHILL ROAD,WHINGATE,,,,
HILLIDGE ROAD,HUNSLET,CITY AND HUNSLET,JACK LANE,SOUTH=WEST TO END,,,,
HILLINGS LANE,HAWKSWORTH,GUISELEY AND RAWDON,GOOSE LANE,BINGLEY ROAD,,,,
HOLBECK LANE,HOLBECK,BEESTON AND HOLBECK,SPENCE LANE,WATER LANE,,,,
HOLBECK MOOR ROAD,HOLBECK,BEESTON AND HOLBECK,NEW PRINCESS STREET,ST MATTHEWS STREET,,,,
HOLBORN APPROACH,WOODHOUSE,HYDE PARK AND WOODHOUSE,RAMPART ROAD,WOODHOUSE STREET,,,,
HOLLIN ROAD,WEETWOOD,WEETWOOD,LEEDS & OTLEY ROAD,WEETWOOD LANE,,,,
HOLLYSHAW LANE,WHITKIRK,TEMPLE NEWSAM,RING ROAD HALTON,SELBY ROAD,,,,
HOLME FARM LANE,BARDSEY,HAREWOOD,THORNER LANE,MILL LANE,,,,
HOLMSLEY LANE,WOODLESFORD,ROTHWELL,PONTEFRACT ROAD (A639),CHURCH STREET,,,,
HOLMSLEY LANE,WOODLESFORD,ROTHWELL,PONTEFRACT ROAD (A.639),CHURCH STREET/OULTON LANE,,,,
HOLMWOOD AVENUE,MEANWOOD,MOORTOWN,CHURCH LANE,SUNSET AVENUE,,,,
HOLT CRESCENT,ADEL,ADEL AND WHARFEDALE,HOLTDALE APPROACH,HOLT PARK ROAD,,,,
HOLT LANE,ADEL,ADEL AND WHARFEDALE,HOLT ROAD,OTLEY ROAD,,,,
HOLT PARK ROAD,ADEL,ADEL AND WHARFEDALE,HOLT ROAD,HOLT CRESCENT,,,,
HOLT ROAD,ADEL,ADEL AND WHARFEDALE,HOLT LANE,HALT PARK ROAD,,,,
HOLTDALE APPROACH,ADEL,ADEL AND WHARFEDALE,OTLEY OLD ROAD,OTLEY OLD ROAD,,,,
HOLYROOD LANE,LEDSHAM,KIPPAX AND METHLEY,LEDSHAM,GREAT NORTH ROAD (A1),,,,
HOPE STREET,MORLEY,MORLEY SOUTH,QUEEN STREET,ACKROYD STREET,,,,
HORSEFAIR,WETHERBY,WETHERBY,HIGH STREET,WALTON ROAD,,,,
HORSFALL STREET,MORLEY,MORLEY NORTH,ASQUITH AVENUE,WOODLANDS PartIVE,,,,
HORSFORTH NEW ROAD,RODLEY,CALVERLEY AND FARSLEY,BROADWAY,RODLEY LANE,,,,
HOSPITAL LANE,COOKRIDGE,WEETWOOD,OTLEY OLD ROAD,SOUTHERN BOUNDARY OF NO 3 SHEPCOTE CLOSE,,,,
HOUGH END LANE,BRAMLEY,ARMLEY,ELDER ROAD,BILLINSBAUK DRIVE,,,,
HOUGH LANE,BRAMLEY,BRAMLEY AND STANNINGLEY,UPPER/LOWER TOWN STREET,STANNINGLEY ROAD,,,,
HOUGH SIDE ROAD,PUDSEY,PUDSEY,SWINNOW ROAD,PUDSEY ROAD / HOUGH SIDE ROAD,,,,
HOUGH TREE ROAD,SWINNOW,PUDSEY,SWINNOW LANE,PUDSEY ROAD,,,,
HOWDEN CLOUGH ROAD,MORLEY,MORLEY SOUTH,BRUNTCLIFFE ROAD,LEEDS ROAD BOUNDARY,,,,
HOWLEY PARK ROAD,MORLEY,MORLEY SOUTH,SCOTCHMAN LANE,SOUTH EASTERLY,,,,
HOWLEY PARK ROAD EAST,MORLEY,MORLEY SOUTH,BRITANNIA ROAD,HOWLEY PARK ROAD,,,,
HUDSON ROAD,BURMANTOFTS,BURMANTOFTS AND RICHMOND HILL,COMPTON ROAD,LUPTON AVENUE,,,,
HUNSLET DISTRIBUTOR ROAD,CENTRAL,CITY AND HUNSLET,JACK LANE,HUNSLET ROAD,,,,
HUNSLET DISTRIBUTOR ROAD,CENTRAL,CITY AND HUNSLET,HUNSLET ROAD,JACK LANE (SLIP ROAD),,,,
HUNSLET DISTRIBUTOR ROAD,CENTRAL,CITY AND HUNSLET,TUNSTALL ROAD ROUNDABOUT,HUNSLET ROAD (A61),,,,
HUNSLET GREEN WAY,HUNSLET,CITY AND HUNSLET,HUNSLET ROAD DISTRIBUTOR,HILLIDGE RAOD,,,,
HUNSLET HALL ROAD,HUNSLET,CITY AND HUNSLET,DEWSBURY ROAD,BEESTON ROAD,,,,
HUNSLET LANEHYDE PARK ROAD,WOODHOUSE,HYDE PARK AND WOODHOUSE,LEEDS & OTLEY TURNPIKE ROAD,WOODSLEY ROAD,,,,
IBBETSON OVAL,CHURWELL,MORLEY NORTH,WESTWOODSIDE,IN A BIG CIRCLE AND BACK ON ITSELF,,,,
INFIRMARY STREET,CENTRAL,CITY AND HUNSLET,PARK ROW (BUS LANE),EAST PARADE (BUS LANE),,,,
INFIRMARY STREET,CENTRAL,CITY AND HUNSLET,PARK ROW,EAST PARADE,,,,
INGHAMS AVENUE,PUDSEY,PUDSEY,WATERLOO ROAD,OWLCOTES ROAD,,,,
INGLE AVENUE,MORLEY,MORLEY NORTH,VICTORIA ROAD,HORSFALL STREET,,,,
INGRAM PARADE,ROTHWELL,ROTHWELL,CHURCH STREET,CMEYNELL AVENUE,,,,
INGRAM ROAD,HOLBECK,BEESTON AND HOLBECK,BROWN LANE EAST,TILBURY ROAD,,,,
INGRAM ROAD DISTRIBUTOR,HOLBECK,BEESTON AND HOLBECK,WELLINGTON ROAD,ELLAND ROAD,,,,
INGS LANE,GUISELEY,GUISELEY AND RAWDON,NETHERFIELD ROAD,JUNCTION WITH OTLEY ROAD AND BACK LANE,,,,
INGS ROAD,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,INGS CRES,OSMONDTHORPE LANE,,,,
INNER RING ROAD,CITY,CITY AND HUNSLET,JNC. WITH NEW YORK ROAD  AT NEW BRIGGATE AND NORTH STREET,WELLINGTON ROAD AT ITS JUNCTION WITH WELLINGTON BRIDGE STREET,,,,
INTAKE LANE,STANNINGLEY,BRAMLEY AND STANNINGLEY,LEEDS & BRADFORD ROAD,COAL HILL LANE,,,,
IRONWOOD APPROACH,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY LANE,IRONWOOD CRESCENT,,,,
IRONWOOD CRESCENT,SEACROFT,KILLINGBECK AND SEACROFT,FOUNPartY MILL STREET,LOOP,,,,
IRONWOOD VIEW,SEACROFT,KILLINGBECK AND SEACROFT,SOUTH PARKWAY,FOUNPartY MILL STREET,,,,
IVEGATE,YEADON,OTLEY AND YEADON,HIGH STREET,HENSHAW LANE,,,,
IVESON APPROACH,LAWNSWOOD,WEETWOOD,IVESON PartIVE,OTLEY OLD ROAD,,,,
IVESON DRIVE,LAWNSWOOD,WEETWOOD,SILK MILL WAY,OTLEY OLD ROAD,,,,
IVESON DRIVE,LAWNSWOOD,WEETWOOD,IVESON ROAD,SPEN LANE,,,,
IVESON ROAD,LAWNSWOOD,WEETWOOD,IVESON PartIVE,SOUTH EAST IVESON APPROACH,,,,
IVY AVENUE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,IVY STREET,SKELTON TERRACE,,,,
IVY GROVE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,IVY STREET,SKELTON TERRACE,,,,
IVY STREET,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,YORK ROAD,PARK PARADE,,,,
JACK LANE,HUNSLET,CITY AND HUNSLET,MEADOW ROAD,NINEVEH ROAD,,,,
JACK LANE,HUNSLET,CITY AND HUNSLET,LEATHLEY ROAD,HUNSLET DISTRIBUTOR,,,,
JACKSON AVENUE,GLEDHOW,ROUNDHAY,LIDGETT WALK,GLEDHOW AVENUE,,,,
JEWITT LANE,COLLINGHAM,HAREWOOD,MAIN STREET,HOLME FARM LANE,,,,
JOHN CHARLES APPROACH,BEESTON,MIDDLETON PARK,Full length,,,,,
JOHNSTON STREET,WOODHOUSE,HYDE PARK AND WOODHOUSE,WOODHOUSE STREET,MELVILLE PLACE,,,,
JUMBLES LANE,LOFTHOUSE,ARDSLEY AND ROBIN HOOD,LEEDS ROAD A.61,CARLTON LANE,,,,
JUNCTION STREET,HUNSLET,CITY AND HUNSLET,KIDACRE STREET,JUNCTION WITH HUNSLET LANE AND GREAT WILSON STREET,,,,
KEDLESTON ROAD,LIDGET PARK,ROUNDHAY,CHELWOOD PartIVE,NORTON ROAD - EAST TO END,,,,
KELCLIFFE LANE,GUISELEY,GUISELEY AND RAWDON,LANDS LANE,MOORLAND AVENUE,,,,
KELLETT ROAD,WORTLEY,FARNLEY AND WORTLEY,DIXON LANE,LOWER WORTLEY ROAD,,,,
KENT ROAD,PUDSEY,PUDSEY,LOWTOWN,VALLEY ROAD,,,,
KENTMERE AVENUE,SEACROFT,KILLINGBECK AND SEACROFT,SOUTH PARKWAY,MONKSWOOD AVENUE/KENTMERE GATE,,,,
KESWICK LANE,BARDSEY,HAREWOOD,WETHERBY ROAD (A.58),WIKE LANE (C.301),,,,
KIDACRE STREET,HUNSLET,CITY AND HUNSLET,IVORY STREET,SOUTH GREAT WILSON STREET,,,,
KIDDAL LANE,BARWICK,HAREWOOD,YORK ROADA.64,POTTERTON LANE,,,,
KING GEORGE AVENUE,CHURWELL,MORLEY NORTH,VICTORIA ROAD,NEW BANK STREET,,,,
KING GEORGE AVENUE,CHAPEL ALLERTON,CHAPEL ALLERTON,HARROGATE ROAD/HAREHILLS LANE,GLEDHOW LANE,,,,
KING LANE,MOORTOWN,ALWOODLEY,SCOTT HALL ROUNDABOUT,RING ROAD MOORTOWN,,,,
KING LANE,MOORTOWN,ALWOODLEY,RING ROAD MOORTOWN,ARTHINGTON LANE,,,,
KING LANE,MOORTOWN,ALWOODLEY,Harrogate Road,Scott Hall Road,,,,
KING STREET,CENTRAL,CITY AND HUNSLET,INFIRMARY STREET,WELLINGTON STREET,,,,
KING STREET,DRIGHLINGTON,MORLEY NORTH,BRADFORD ROAD,WAKEFIELD ROAD,,,,
KINGS ROAD,BRAMHOPE,ADEL AND WHARFEDALE,ARTHINGTON ROAD,JUNCTION WITH LEEDS ROAD AND THE SYCAMORES,,,,
KINGSWAY,GARFORTH,GARFORTH AND SWILLINGTON,KNIGHTSWAY,ALLENDALE CRESCENT,,,,
KINGSWEAR CRESCENT,WHITKIRK,CROSS GATES AND WHINMOOR,AUSTHORPE LANE,WHITKIRK LANE,,,,
KIRK LANE,YEADON,GUISELEY AND RAWDON,NEW ROAD,TOWN STREET,,,,
KIRKGATE,CENTRAL,CITY AND HUNSLET,DUKE STREET,HARPER STREET,,,,
KIRKGATE,CENTRAL,CITY AND HUNSLET,HARPER STREET,NEW MARKET STREET,,,,
KIRKGATE,OTLEY,OTLEY AND YEADON,MARKET PLACE,BONDGATE,,,,
KIRKSTALL AVENUE,BRAMLEY,ARMLEY,RAYNVILLE ROAD,BROAD LANE,,,,
KIRKSTALL HILL,KIRKSTALL,KIRKSTALL,JUNCTION KIRKSTALL LANE,BURLEY ROAD,,,,
KIRKSTALL LANE,KIRKSTALL,KIRKSTALL, ABBEY ROAD,QUEENSWOOD DRIVE,,,,
KIRKSTALL LANE,KIRKSTALL,KIRKSTALL,QUEENSWOOD DRIVE,NORTH LANE,,,,
KIRKSTALL ROAD,BURLEY,KIRKSTALL,WILLOW ROAD,COMMERCIAL ROAD,,,,
KIRKSTALL ROAD,BURLEY,KIRKSTALL,WELLINGTON STREET,WILLOW ROAD,,,,
KNIGHTSWAY,GARFORTH,GARFORTH AND SWILLINGTON,KINGSWAY,RINGWAY,,,,
KNIGHTSWAY,WHITKIRK,TEMPLE NEWSAM,GREEN LANE,SELBY ROAD,,,,
KNOWSTHORPE CRESCENT,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,LONG CAUSEWAY,KNOSTROP LANE,,,,
KNOWSTHORPE GATE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,PONTEFRACT LANE,CROSS GREEN WAY,,,,
KNOWSTHORPE LANE,CROSS GREEN,BURMANTOFTS AND RICHMOND HILL,LONG CAUSEWAY,CROSS GREEN APPROACH,,,,
KYFFIN AVENUE,HALTON,TEMPLE NEWSAM,CARDEN AVENUE,SOUTH EAST - SOUTH WEST CARDEN AVENUE,,,,
LADY PIT LANE,BEESTON,CITY AND HUNSLET,HUNSLET HALL ROAD,GREENMOUNT STREET,,,,
LANDS LANE,GUISELEY,GUISELEY AND RAWDON,KELCLIFFE LANE,OXFORD STREET,,,,
LANE END,PUDSEY,PUDSEY,MOUNT PLEASANT ROAD,LOWTOWN,,,,
LANGWITH DRIVE,COLLINGHAM,HAREWOOD,HAREWOOD ROAD,UPPER LANGWITH,,,,
LANGWITH VALLEY ROAD,COLLINGHAM,HAREWOOD,UPPER LANGWITH - NW TO END 160M (APPROX),WHARFE BANK - SE TO END 140M (APPROX),,,,
LARKFIELD ROAD,RAWDON,GUISELEY AND RAWDON,CANADA ROAD,TOWN STREET,,,,
LATCHMERE DRIVE,WEST PARK,KIRKSTALL,MOOR GRANGE PartIVE,OLD FARM APPROACH,,,,
LAVENDER WALK,RICHMOND HILL,BURMANTOFTS AND RICHMOND HILL,UPPER ACCOMMODATION ROAD,PONTEFRACT LANE,,,,
LAWNS LANE,FARNLEY,FARNLEY AND WORTLEY,MAPLE DRIVE,WHITEHALL ROAD,,,,
LAYTON LANE,RAWDON,HORSFORTH,LAYTON ROAD,LEEDS ROAD,,,,
LAYTON ROAD,HORSFORTH,HORSFORTH,BROWN BERRIE LANE,TOWN STREET RAWDON,,,,
LEA FARM ROAD,KIRKSTALL,KIRKSTALL,HAWKSWORTH STREET,BUTCHER HILL,,,,
LEADWELL LANE,ROBIN HOOD,ARDSLEY AND ROBIN HOOD,LEEDS ROAD A.61,COPLEY LANE,,,,
LEADWELL LANE,ROBIN HOOD,ARDSLEY AND ROBIN HOOD,COPLEY LANE,CARLTON LANE,,,,
LEASOWE ROAD,HUNSLET,CITY AND HUNSLET,WOODHOUSE HILL ROAD,MIDLAND CRESCENT,,,,
LEATHLEY ROAD,HUNSLET,CITY AND HUNSLET,HUNSLET ROAD - A61,JACK LANE,,,,
LEDGARD WAY,ARMLEY,ARMLEY,CANAL ROAD,ARMLEY ROAD,,,,
LEDSTON LUCK COTTAGES,LEDSTON LUCK,KIPPAX AND METHLEY,LEDSTON LUCK VILLAS,Bus terminus,,,,
LEDSTON LUCK VILLAS,LEDSTON LUCK,KIPPAX AND METHLEY,ROMAN ROAD,LEDSTON LUCK COTTAGES,,,,
LEDSTON MILL LANE,LEDSTON,KIPPAX AND METHLEY,IN TWO PARTS FROM NEWTON LANE TO MAIN STREET,& FROM MAIN STREET TO BACK NEWTON LANE,,,,
LEE LANE EAST,HORSFORTH,HORSFORTH,ST MARGARETS AVENUE,WESTBROOKE LANE,,,,
