STREET,DISTRICT,WARD,FROM,TO,,,,
BRADFORD ROAD,OTLEY,OTLEY AND YEADON,A660 ROUNDABOUT,A65 ROUNDABOUT,,,,
BRADFORD ROAD,MENSTON,GUISELEY AND RAWDON,JUNCTION WITH THORPE LANE & OTLEY ROAD,JUNCTION WITH BUCKLE LANE & BINGLEY ROAD,,,,
BRADFORD ROAD,GUISELEY,GUISELEY AND RAWDON,HAWKSWORTH LANE,THORPE LANE & OTLEY ROAD,,,,
BRADFORD ROAD,STANNINGLEY,CALVERLEY AND FARSLEY,JUNCTION WITH RING ROAD FARSLEY & STANNINGLEY BYPASS,JUNCTION WITH RICHARDSHAW LANE,,,,
BRAMHAM ROAD,CLIFFORD,WETHERBY,CLIFFORD ROAD BRAMHAM,HIGH STREET CLIFFORD,,,,
BRAMHAM ROAD,THORNER,HAREWOOD,CHURCH HILL,THORNER ROAD,,,,
BRANCH ROAD,ARMLEY,ARMLEY,STANNINGLEY ROAD,TOWN STREET,,,,
BRANCH ROAD,LOWER WORTLEY,FARNLEY AND WORTLEY,WHITEHALL ROAD,LOWER WORTLEY ROAD,,,,
BRANCH ROAD,GILDERSOME,MORLEY NORTH,TOWN STREET,GELDERD ROAD,,,,
BRANDON LANE,SHADWELL,HAREWOOD,TARN LANE,BAY HORSE LANE,,,,
BREARY LANE,BRAMHOPE,ADEL AND WHARFEDALE,JUNCTION WITH CRESKELD LANE,EASTGATE,,,,
BRIDGE END,CENTRAL,CITY AND HUNSLET,MEADOW LANE,SWINEGATE,,,,
BRIDGE FOOT,THORP ARCH,WETHERBY,JUNCTION WITH THE VILLAGE AND THORP ARCH PARK,BRIDGE ROAD,,,,
BRIDGE ROAD,BOSTON SPA,WETHERBY,HIGH STREET,BRIDGE FOOT,,,,
BRIDGE ROAD,HOLBECK,BEESTON AND HOLBECK,STOCKS HILL,HOLBECK LANE,,,,
BRIDGE ROAD,RODLEY,CALVERLEY AND FARSLEY,RODLEY LANE,CANAL ROAD,,,,
BRIDGE ROAD,KIRKSTALL,KIRKSTALL,ABBEY ROAD,RIVER,,,,
