1949,53.2,26.4,57,46.1,40.4,22.3,40.7,80.4,23,96.3,36.5,74.8
1950,10.5,107.3,33.6,50.2,41.6,28.8,81.6,145.8,103.9,77.3,56.6,56.7
1951,69.5,60.4,86.5,28,52.8,22.9,47.9,83.3,71.4,13.8,125.6,81.3
1952,87,14.1,31.1,39,54.9,38.6,29,98.1,61.1,86.5,87.8,50
1953,15.8,44.9,9.2,65.5,50.9,38.6,78.7,76.8,43.8,42.5,62.4,51.5
1954,33.3,59.3,54.6,14.3,95.1,38.7,55.2,70.8,56.5,133.9,100.9,100.3
1955,86.2,69.7,30.1,21.8,61.3,113.9,14.1,85.3,47.6,25.4,45.9,108.2
1956,88.4,30.7,45.6,47.6,16.5,59.2,101.8,146,90.3,41.1,31.5,89.1
1957,52.2,60,76.2,20.5,77.1,49.7,85.7,88.3,131.7,71.9,39.1,79.7
1958,35.2,102,23,29.9,103.9,168.5,109.9,140.2,128.8,52,45.4,90.4
1959,47.3,13.1,40.2,43.8,73.4,37.6,44.8,17.6,24.3,106.7,90.8,131.3
1960,87,35.2,97.1,27.2,52.4,51.1,139.8,86.4,81.1,178.2,102.8,93.7
1961,106,51,5,90,30,42,53,47,86,59,53,57
1962,41,26,54,41,57,25,68,73,131,19,45,75
1963,41,62,65,47,42,54,24,103,45,48,97,15
1964,15,28,107,62,45,51,48,81,52,62,26,112
1965,97,5,55,45,52,73,79,55,68,44,179,100
1966,92,115,45,147,52,120,37,57,69,126,47,111
1967,49,84,26,34,129,11,84,64,116,96,44,48
1968,94,16,42,59,52,51,16,107,104,60,79,109
1969,105,42,47,62,111,46,44,34,45,11,91,62
1970,63,60,33,85,13,32,68,68,54,59,128,51
1971,39.4,41.6,76.9,52.4,34,71.8,62.8,66.9,27,34.4,48,36.4
1972,113.4,56.9,50.8,48.5,66.7,58.6,44.5,20.6,7.5,40.8,79.3,81.5
1973,52.4,32.3,11.1,48.1,70.9,20.2,72.8,109.1,76,59.4,60.6,72.7
1974,83.1,49.2,31.7,57.3,73.7,40.6,98.6,30.2,116,26.6,57.7,37.9
1975,82.6,26.2,43.4,43.8,42.3,14.9,27.8,35.9,124.3,55.1,57,30.4
1976,66.1,29.3,65.8,17.7,47.7,22.5,82.8,6.7,144.6,156.3,39.1,48.6
1977,57.2,127.5,54.6,43,22.5,66.6,25,68.1,29.2,76.5,53.8,65.1
1978,61.2,53.8,57.7,29.6,27.3,37.9,49.7,116.7,38.4,31.8,64.1,217
1979,53,72.7,63.7,53.6,81.7,44,47.2,104.9,32.9,119,51.4,112.4
1980,115.2,68.5,73.7,8.2,41,79,39.4,97.8,97.5,113.7,41.4,49.7
1981,32.8,50.7,99.3,49,92.3,77.1,35.5,11.6,103.5,108.6,48.8,133
1982,50.2,24.3,45,19.5,59.6,102.2,9.2,66.6,85.6,98.2,116.3,72.5
1983,62.6,43.8,61,67.1,80.5,53.2,18.1,45.9,77.4,46,21.3,129.7
1984,93.9,58.9,53.2,32.6,34.4,38.1,30.8,97,74.7,56.2,97.2,87.7
1985,66.8,56.2,68.3,39.9,70.1,78.5,107.2,124.6,38.2,19.7,34.8,71.1
1986,103.4,10.2,64.7,48.2,63.2,81.4,57.5,159,3.3,62.2,97,74.2
1987,34.2,34.7,56.5,72.3,21.3,112.3,32.6,91.9,70.3,124.5,47.8,39.5
1988,118.6,34,85.4,25.2,72.2,38.1,80.3,60.2,35.4,79.1,23.5,40.5
1989,27.5,42.6,54.7,79.3,13.1,67.8,9.6,81.9,25.1,62.1,35.6,57.1
1990,67.1,108.8,10.2,24.2,47.4,63.4,48,49.8,16.4,149.2,64,78.7
